,radius,movement
0,0.09634270227224964,[ -0.75587997 -16.08718573]
1,0.09780352953605045,[  2.11680868 -12.7598035 ]
2,0.11147849378417145,[ -1.22732109 -13.51417462]
3,0.07144966028341657,[ -6.1030303 -15.7020202]
4,0.10783403197590292,[ -5.3300227  -17.03467639]
5,0.1061471386390026,[ 4.52112387 -9.11590605]
6,0.10687335330162032,[ -0.3522564  -12.81364849]
7,0.10795351570449638,[ -0.56561117 -14.59215985]
8,0.1002766638084153,[ -4.02608758 -15.39662921]
9,0.03626207577932128,[ 0.03721489 -0.13605442]
10,0.10687335330162032,[  0.05781174 -16.40452091]
11,0.033296746591493634,[-0.02491694 -0.22425249]
12,0.09846037727742835,[ -0.60130616 -14.70618669]
13,0.11078247140997638,[  0.34508505 -14.58588402]
14,0.10651086490865753,[  1.83506494 -13.84935065]
15,0.06980691976865654,[-1.16943242e-02 -1.41557239e+01]
16,0.10651086490865753,[  2.24867965 -15.58642857]
17,0.03443867935796615,[ 0.02728955 -0.09111933]
18,0.061354158082476434,[  4.78724974 -11.81580611]
19,0.10735476723954324,[  1.21723514 -15.17390212]
20,0.04093777657320507,[ 0.1854251  -8.48178138]
21,0.058338403329857166,[  5.98595713 -11.3597561 ]
22,0.03731336814290423,[-0.2479092  -7.36798088]
23,0.09620879991112272,[  2.40173001 -14.01161399]
24,0.056085098691793525,[-2.38195320e-03 -9.58869273e+00]
25,0.11545502632505265,[ -3.19445613 -13.09750388]
26,0.0688773587159323,[  5.14576659 -13.79731121]
27,0.10040514132915124,[  2.80859698 -15.00276396]
28,0.056542943828827956,[  4.4853507  -11.37185558]
29,0.10430948436999549,[ -2.07394096 -13.93691444]
30,0.07252415155864256,[  2.3798378  -10.65057489]
31,0.05128231936691707,[  2.57165775 -12.11229947]
32,0.06280775763769725,[  5.24461813 -14.09616527]
33,0.11297183227043407,[  2.95625644 -13.14537209]
34,0.11821353824008812,[  1.38453584 -14.52365236]
35,0.06678679835935736,[  4.09661959 -14.45551328]
36,0.03251318397229605,[-0.00464576 -0.09465738]
37,0.054923790759230956,[  2.09817912 -12.49297659]
38,0.11285766161744713,[  1.34549451 -13.61511085]
39,0.039331743501314846,[-0.1462963  -7.92962963]
40,0.06382577789091295,[  2.50160456 -15.5560706 ]
41,0.033296746591493634,[ 0.04021318 -0.125     ]
42,0.11433298778528327,[  1.38402761 -15.66184615]
43,0.03554394376350865,[-0.02653061 -0.06244898]
44,0.06239589904724462,[  4.72649007 -14.06698202]
45,0.10331603807389846,[ -1.8650368  -12.85836335]
46,0.034811000225527716,[-0.00620567 -0.14893617]
47,0.05986527381164558,[  4.14945924 -13.13116394]
